M00001	Carbohydrate metabolism	Central carbohydrate metabolism
M00002	Carbohydrate metabolism	Central carbohydrate metabolism
M00003	Carbohydrate metabolism	Central carbohydrate metabolism
M00004	Carbohydrate metabolism	Central carbohydrate metabolism
M00005	Carbohydrate metabolism	Central carbohydrate metabolism
M00006	Carbohydrate metabolism	Central carbohydrate metabolism
M00007	Carbohydrate metabolism	Central carbohydrate metabolism
M00008	Carbohydrate metabolism	Central carbohydrate metabolism
M00009	Carbohydrate metabolism	Central carbohydrate metabolism
M00010	Carbohydrate metabolism	Central carbohydrate metabolism
M00011	Carbohydrate metabolism	Central carbohydrate metabolism
M00012	Carbohydrate metabolism	Other carbohydrate metabolism
M00013	Carbohydrate metabolism	Other carbohydrate metabolism
M00014	Carbohydrate metabolism	Other carbohydrate metabolism
M00015	Amino acid metabolism	Arginine and proline metabolism
M00016	Amino acid metabolism	Lysine metabolism
M00017	Amino acid metabolism	Cysteine and methionine metabolism
M00018	Amino acid metabolism	Serine and threonine metabolism
M00019	Amino acid metabolism	Branched-chain amino acid metabolism
M00020	Amino acid metabolism	Serine and threonine metabolism
M00021	Amino acid metabolism	Cysteine and methionine metabolism
M00022	Amino acid metabolism	Aromatic amino acid metabolism
M00023	Amino acid metabolism	Aromatic amino acid metabolism
M00024	Amino acid metabolism	Aromatic amino acid metabolism
M00025	Amino acid metabolism	Aromatic amino acid metabolism
M00026	Amino acid metabolism	Histidine metabolism
M00027	Amino acid metabolism	Other amino acid metabolism
M00028	Amino acid metabolism	Arginine and proline metabolism
M00029	Amino acid metabolism	Arginine and proline metabolism
M00030	Amino acid metabolism	Lysine metabolism
M00031	Amino acid metabolism	Lysine metabolism
M00032	Amino acid metabolism	Lysine metabolism
M00033	Amino acid metabolism	Serine and threonine metabolism
M00034	Amino acid metabolism	Cysteine and methionine metabolism
M00035	Amino acid metabolism	Cysteine and methionine metabolism
M00036	Amino acid metabolism	Branched-chain amino acid metabolism
M00037	Amino acid metabolism	Aromatic amino acid metabolism
M00038	Amino acid metabolism	Aromatic amino acid metabolism
M00039	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds
M00040	Amino acid metabolism	Aromatic amino acid metabolism
M00042	Amino acid metabolism	Aromatic amino acid metabolism
M00043	Amino acid metabolism	Aromatic amino acid metabolism
M00044	Amino acid metabolism	Aromatic amino acid metabolism
M00045	Amino acid metabolism	Histidine metabolism
M00046	Nucleotide metabolism	Pyrimidine metabolism
M00047	Amino acid metabolism	Arginine and proline metabolism
M00048	Nucleotide metabolism	Purine metabolism
M00049	Nucleotide metabolism	Purine metabolism
M00050	Nucleotide metabolism	Purine metabolism
M00051	Nucleotide metabolism	Pyrimidine metabolism
M00052	Nucleotide metabolism	Pyrimidine metabolism
M00053	Nucleotide metabolism	Purine metabolism
M00055	Glycan metabolism	Glycan biosynthesis
M00056	Glycan metabolism	Glycan biosynthesis
M00057	Glycan metabolism	Glycosaminoglycan metabolism
M00058	Glycan metabolism	Glycosaminoglycan metabolism
M00059	Glycan metabolism	Glycosaminoglycan metabolism
M00060	Glycan metabolism	Lipopolysaccharide metabolism
M00061	Carbohydrate metabolism	Other carbohydrate metabolism
M00063	Glycan metabolism	Lipopolysaccharide metabolism
M00064	Glycan metabolism	Lipopolysaccharide metabolism
M00065	Glycan metabolism	Glycan biosynthesis
M00066	Lipid metabolism	Lipid metabolism
M00067	Lipid metabolism	Lipid metabolism
M00068	Glycan metabolism	Glycan biosynthesis
M00069	Glycan metabolism	Glycan biosynthesis
M00070	Glycan metabolism	Glycan biosynthesis
M00071	Glycan metabolism	Glycan biosynthesis
M00072	Glycan metabolism	Glycan biosynthesis
M00073	Glycan metabolism	Glycan biosynthesis
M00074	Glycan metabolism	Glycan biosynthesis
M00075	Glycan metabolism	Glycan biosynthesis
M00076	Glycan metabolism	Glycosaminoglycan metabolism
M00077	Glycan metabolism	Glycosaminoglycan metabolism
M00078	Glycan metabolism	Glycosaminoglycan metabolism
M00079	Glycan metabolism	Glycosaminoglycan metabolism
M00081	Carbohydrate metabolism	Other carbohydrate metabolism
M00082	Lipid metabolism	Fatty acid metabolism
M00083	Lipid metabolism	Fatty acid metabolism
M00085	Lipid metabolism	Fatty acid metabolism
M00086	Lipid metabolism	Fatty acid metabolism
M00087	Lipid metabolism	Fatty acid metabolism
M00088	Lipid metabolism	Lipid metabolism
M00089	Lipid metabolism	Lipid metabolism
M00090	Lipid metabolism	Lipid metabolism
M00091	Lipid metabolism	Lipid metabolism
M00092	Lipid metabolism	Lipid metabolism
