HMMER,DRR127476_bin.16,DRR127514_bin.3,DRR127619_bin.11,DRR127718_bin.11,DRR127720_bin.6,DRR127752_bin.18_sub,DRR127755_bin.21,MH_sensitive_DRR127478_SemiBin_56,MH_sensitive_DRR127532_SemiBin_33,MH_sensitive_DRR127537_SemiBin_56,MH_sensitive_DRR127557_SemiBin_47,MH_sensitive_DRR127567_SemiBin_19,MH_sensitive_DRR127647_SemiBin_28,MH_sensitive_DRR127692_SemiBin_11,MH_sensitive_DRR127708_SemiBin_52,MH_sensitive_DRR127721_SemiBin_53,MH_sensitive_DRR127736_SemiBin_32,MH_sensitive_DRR127751_SemiBin_5,MH_sensitive_DRR171465_SemiBin_39
AA1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
AA3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AA6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AA7,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
CBM34,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
CBM48,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CBM50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CBM69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CE1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CE11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CE14,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1
CE4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CE8,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
CE9,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
GH1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GH102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
