Gene,DRR127476_bin.16,DRR127514_bin.3,DRR127619_bin.11,DRR127718_bin.11,DRR127720_bin.6,DRR127752_bin.18_sub,DRR127755_bin.21,MH_sensitive_DRR127478_SemiBin_56,MH_sensitive_DRR127532_SemiBin_33,MH_sensitive_DRR127537_SemiBin_56,MH_sensitive_DRR127557_SemiBin_47,MH_sensitive_DRR127567_SemiBin_19,MH_sensitive_DRR127647_SemiBin_28,MH_sensitive_DRR127692_SemiBin_11,MH_sensitive_DRR127708_SemiBin_52,MH_sensitive_DRR127721_SemiBin_53,MH_sensitive_DRR127736_SemiBin_32,MH_sensitive_DRR127751_SemiBin_5,MH_sensitive_DRR171465_SemiBin_39,gene_name,VFG_ID,gene_description,VF_ID,VFC_ID,organism
gnl|Prokka|AKEAHCKB_00118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,gnl|Prokka|AKEAHCKB_00118,VFG030724(gb|WP_015308640), sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC ,Trehalose-recycling ABC transporter (VF0842),Nutritional/Metabolic factor (VFC0272),[Mycobacterium smegmatis JS623]
gnl|Prokka|AKEAHCKB_00340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_00340,VFG012515(gb|WP_001318220), glucosyltransferase IroB ,Salmochelin siderophore (VF0230),Nutritional/Metabolic factor (VFC0272),[Escherichia coli UTI89]
gnl|Prokka|AKEAHCKB_00341,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_00341,VFG012512(gb|WP_001111199), ATP binding cassette transporter ,Salmochelin siderophore (VF0230),Nutritional/Metabolic factor (VFC0272),[Escherichia coli APEC O1]
gnl|Prokka|AKEAHCKB_00342,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_00342,VFG012508(gb|WP_000933675), esterase ,Salmochelin siderophore (VF0230),Nutritional/Metabolic factor (VFC0272),[Escherichia coli APEC O1]
gnl|Prokka|AKEAHCKB_00343,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_00343,VFG012504(gb|WP_000271276), esterase ,Salmochelin siderophore (VF0230),Nutritional/Metabolic factor (VFC0272),[Escherichia coli APEC O1]
gnl|Prokka|AKEAHCKB_00485,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_00485,VFG036043(gb|WP_001038844), autotransporter outer membrane beta-barrel domain-containing protein ,AatA  AIDA-I type (VF1133),Adherence (VFC0001),[Escherichia coli APEC O1]
gnl|Prokka|AKEAHCKB_00540,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,gnl|Prokka|AKEAHCKB_00540,VFG050159(gb|WP_001331697), Polysialic acid transport protein precursor ,K1 capsule (VF0239),Invasion (VFC0083),[Escherichia coli O45:K1:H7 str. S88]
gnl|Prokka|AKEAHCKB_01320,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,gnl|Prokka|AKEAHCKB_01320,VFG049125(gb|WP_004136054), acriflavine resistance protein A ,AcrAB (VF0568),Antimicrobial activity/Competitive advantage (VFC0325),[Klebsiella oxytoca E718]
gnl|Prokka|AKEAHCKB_01481,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,gnl|Prokka|AKEAHCKB_01481,VFG044140(gb|WP_002212186), outer membrane channel protein TolC ,HasA-type hemophore-mediated heme uptake system (VF1029),Nutritional/Metabolic factor (VFC0272),[Yersinia pestis CO92]
gnl|Prokka|AKEAHCKB_01645,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,gnl|Prokka|AKEAHCKB_01645,VFG013422(gb|WP_010945115), phosphoheptose isomerase ,LOS (VF0044),Immune modulation (VFC0258),[Haemophilus ducreyi 35000HP]
gnl|Prokka|AKEAHCKB_02036,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,gnl|Prokka|AKEAHCKB_02036,VFG043106(gb|WP_001274299), flagellar hook-basal body complex protein FliE ,Peritrichous flagella (VF1154),Motility (VFC0204),[Escherichia coli O157:H7 str. EDL933]
