KO,Definition,Gene IDs,DRR127476_bin.16,DRR127514_bin.3,DRR127619_bin.11,DRR127718_bin.11,DRR127720_bin.6,DRR127752_bin.18_sub,DRR127755_bin.21,MH_sensitive_DRR127478_SemiBin_56,MH_sensitive_DRR127532_SemiBin_33,MH_sensitive_DRR127537_SemiBin_56,MH_sensitive_DRR127557_SemiBin_47,MH_sensitive_DRR127567_SemiBin_19,MH_sensitive_DRR127647_SemiBin_28,MH_sensitive_DRR127692_SemiBin_11,MH_sensitive_DRR127708_SemiBin_52,MH_sensitive_DRR127721_SemiBin_53,MH_sensitive_DRR127736_SemiBin_32,MH_sensitive_DRR127751_SemiBin_5,MH_sensitive_DRR171465_SemiBin_39
K03789,[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266],gnl|Prokka|AKEAHCKB_02425;gnl|Prokka|APDOGEMG_01436;gnl|Prokka|BNGDJCLN_01477;gnl|Prokka|COAKLHLB_00361;gnl|Prokka|HIPMDEKK_02405;gnl|Prokka|IAHBEFHN_02346;gnl|Prokka|ICHPHMKM_01795;gnl|Prokka|JCIDEFIG_02948;gnl|Prokka|JDDPIIHO_01172;gnl|Prokka|KAGGKOGE_00710;gnl|Prokka|KIDIHNBK_00380;gnl|Prokka|LGNBBEFE_02295;gnl|Prokka|LKCJGGKA_00383;gnl|Prokka|LKCJGGKA_01473;gnl|Prokka|MKNIKEAA_02951;gnl|Prokka|NGKABENH_01975;gnl|Prokka|NKEMDPIE_03306;gnl|Prokka|PJBPACPC_03910;gnl|Prokka|PLJPCPFJ_00644,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1
K06904,Escherichia/Staphylococcus phage prohead protease,gnl|Prokka|APDOGEMG_04235;gnl|Prokka|BNGDJCLN_03778;gnl|Prokka|HCDLLMMA_02490;gnl|Prokka|JDDPIIHO_00753;gnl|Prokka|LGNBBEFE_00470;gnl|Prokka|NGKABENH_02291,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
K05880,transcriptional activator for dhaKLM operon,gnl|Prokka|APDOGEMG_02221;gnl|Prokka|BNGDJCLN_00476;gnl|Prokka|COAKLHLB_01899;gnl|Prokka|HCDLLMMA_03500;gnl|Prokka|HIPMDEKK_00139;gnl|Prokka|IAHBEFHN_02308;gnl|Prokka|ICHPHMKM_02337;gnl|Prokka|JCIDEFIG_01165;gnl|Prokka|KAGGKOGE_01746;gnl|Prokka|KIDIHNBK_03452;gnl|Prokka|LGNBBEFE_01020;gnl|Prokka|LKCJGGKA_00714;gnl|Prokka|MKNIKEAA_00654;gnl|Prokka|MKNIKEAA_03003;gnl|Prokka|NGKABENH_01927;gnl|Prokka|NGKABENH_02407;gnl|Prokka|NKEMDPIE_00147;gnl|Prokka|PJBPACPC_01601;gnl|Prokka|PJBPACPC_03864;gnl|Prokka|PLJPCPFJ_00391,1,0,1,2,1,0,1,2,1,1,1,1,1,1,1,1,1,1,2
K05595,multiple antibiotic resistance protein,gnl|Prokka|AKEAHCKB_00381;gnl|Prokka|AKEAHCKB_00921;gnl|Prokka|AKEAHCKB_03508;gnl|Prokka|APDOGEMG_00191;gnl|Prokka|APDOGEMG_00744;gnl|Prokka|APDOGEMG_03763;gnl|Prokka|BNGDJCLN_01907;gnl|Prokka|BNGDJCLN_02015;gnl|Prokka|BNGDJCLN_04349;gnl|Prokka|COAKLHLB_00072;gnl|Prokka|COAKLHLB_01808;gnl|Prokka|COAKLHLB_01940;gnl|Prokka|HCDLLMMA_00111;gnl|Prokka|HCDLLMMA_01236;gnl|Prokka|HCDLLMMA_02130;gnl|Prokka|HIPMDEKK_00182;gnl|Prokka|HIPMDEKK_00302;gnl|Prokka|HIPMDEKK_02928;gnl|Prokka|IAHBEFHN_01992;gnl|Prokka|IAHBEFHN_02142;gnl|Prokka|ICHPHMKM_00022;gnl|Prokka|ICHPHMKM_01874;gnl|Prokka|JCIDEFIG_02507;gnl|Prokka|JCIDEFIG_03208;gnl|Prokka|JCIDEFIG_03271;gnl|Prokka|JDDPIIHO_02824;gnl|Prokka|JDDPIIHO_03187;gnl|Prokka|JDDPIIHO_03506;gnl|Prokka|KAGGKOGE_01785;gnl|Prokka|KAGGKOGE_03591;gnl|Prokka|KAGGKOGE_03627;gnl|Prokka|KIDIHNBK_01090;gnl|Prokka|KIDIHNBK_03529;gnl|Prokka|KIDIHNBK_03876;gnl|Prokka|LGNBBEFE_01686;gnl|Prokka|LGNBBEFE_02102;gnl|Prokka|LGNBBEFE_03222;gnl|Prokka|LKCJGGKA_00156;gnl|Prokka|LKCJGGKA_00567;gnl|Prokka|LKCJGGKA_03891;gnl|Prokka|MKNIKEAA_00084;gnl|Prokka|MKNIKEAA_00695;gnl|Prokka|MKNIKEAA_02535;gnl|Prokka|NGKABENH_02367;gnl|Prokka|NGKABENH_02891;gnl|Prokka|NGKABENH_03602;gnl|Prokka|NKEMDPIE_01135;gnl|Prokka|NKEMDPIE_01426;gnl|Prokka|NKEMDPIE_03347;gnl|Prokka|PJBPACPC_01561;gnl|Prokka|PJBPACPC_04134;gnl|Prokka|PJBPACPC_04419;gnl|Prokka|PLJPCPFJ_01541;gnl|Prokka|PLJPCPFJ_02126;gnl|Prokka|PLJPCPFJ_02629,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3
K02838,ribosome recycling factor,gnl|Prokka|AKEAHCKB_02113;gnl|Prokka|APDOGEMG_03655;gnl|Prokka|BNGDJCLN_00301;gnl|Prokka|COAKLHLB_02747;gnl|Prokka|HCDLLMMA_04286;gnl|Prokka|HIPMDEKK_00500;gnl|Prokka|IAHBEFHN_00839;gnl|Prokka|ICHPHMKM_00051;gnl|Prokka|JDDPIIHO_02264;gnl|Prokka|KAGGKOGE_00510;gnl|Prokka|KIDIHNBK_04030;gnl|Prokka|LGNBBEFE_00547;gnl|Prokka|LKCJGGKA_01171;gnl|Prokka|MKNIKEAA_04493;gnl|Prokka|NGKABENH_02177;gnl|Prokka|NKEMDPIE_02481;gnl|Prokka|PJBPACPC_03793;gnl|Prokka|PLJPCPFJ_00841,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
K02744,N-acetylgalactosamine PTS system EIIA component [EC:2.7.1.-],gnl|Prokka|APDOGEMG_01589;gnl|Prokka|BNGDJCLN_01011;gnl|Prokka|COAKLHLB_02026;gnl|Prokka|HCDLLMMA_04536;gnl|Prokka|HIPMDEKK_00565;gnl|Prokka|IAHBEFHN_03185;gnl|Prokka|JCIDEFIG_01899;gnl|Prokka|JDDPIIHO_03620;gnl|Prokka|KAGGKOGE_02376;gnl|Prokka|KIDIHNBK_00545;gnl|Prokka|LGNBBEFE_02621;gnl|Prokka|LKCJGGKA_02660;gnl|Prokka|MKNIKEAA_01534;gnl|Prokka|NGKABENH_01170;gnl|Prokka|NKEMDPIE_01485;gnl|Prokka|PJBPACPC_02411;gnl|Prokka|PLJPCPFJ_01153,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
K03320,ammonium transporter; Amt family,gnl|Prokka|AKEAHCKB_01332;gnl|Prokka|APDOGEMG_01905;gnl|Prokka|BNGDJCLN_02970;gnl|Prokka|COAKLHLB_03811;gnl|Prokka|HCDLLMMA_01960;gnl|Prokka|HIPMDEKK_01661;gnl|Prokka|IAHBEFHN_02533;gnl|Prokka|ICHPHMKM_02144;gnl|Prokka|JCIDEFIG_02459;gnl|Prokka|JDDPIIHO_01945;gnl|Prokka|KAGGKOGE_02958;gnl|Prokka|KIDIHNBK_01341;gnl|Prokka|LGNBBEFE_03173;gnl|Prokka|LKCJGGKA_02804;gnl|Prokka|MKNIKEAA_04227;gnl|Prokka|NGKABENH_00844;gnl|Prokka|NKEMDPIE_01634;gnl|Prokka|PJBPACPC_00206;gnl|Prokka|PLJPCPFJ_03299,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K18839,toxin GhoT,gnl|Prokka|AKEAHCKB_00305;gnl|Prokka|AKEAHCKB_02240;gnl|Prokka|APDOGEMG_02695;gnl|Prokka|APDOGEMG_03890;gnl|Prokka|BNGDJCLN_01220;gnl|Prokka|BNGDJCLN_02204;gnl|Prokka|COAKLHLB_03517;gnl|Prokka|HCDLLMMA_01825;gnl|Prokka|HCDLLMMA_02871;gnl|Prokka|HCDLLMMA_04045;gnl|Prokka|HIPMDEKK_00351;gnl|Prokka|HIPMDEKK_02350;gnl|Prokka|IAHBEFHN_00751;gnl|Prokka|IAHBEFHN_02731;gnl|Prokka|ICHPHMKM_00085;gnl|Prokka|ICHPHMKM_01104;gnl|Prokka|ICHPHMKM_03082;gnl|Prokka|JCIDEFIG_04143;gnl|Prokka|JCIDEFIG_04454;gnl|Prokka|JDDPIIHO_00066;gnl|Prokka|JDDPIIHO_01778;gnl|Prokka|KAGGKOGE_02037;gnl|Prokka|KAGGKOGE_03041;gnl|Prokka|KIDIHNBK_03600;gnl|Prokka|KIDIHNBK_03784;gnl|Prokka|LGNBBEFE_03116;gnl|Prokka|LGNBBEFE_03236;gnl|Prokka|LKCJGGKA_00009;gnl|Prokka|LKCJGGKA_03212;gnl|Prokka|LKCJGGKA_04214;gnl|Prokka|MKNIKEAA_00841;gnl|Prokka|MKNIKEAA_01701;gnl|Prokka|NGKABENH_00382;gnl|Prokka|NGKABENH_04645;gnl|Prokka|NKEMDPIE_01284;gnl|Prokka|NKEMDPIE_02859;gnl|Prokka|PJBPACPC_01414;gnl|Prokka|PJBPACPC_03370;gnl|Prokka|PLJPCPFJ_00147;gnl|Prokka|PLJPCPFJ_03064;gnl|Prokka|PLJPCPFJ_04117,2,2,2,2,2,2,1,2,3,2,3,3,2,2,2,3,2,2,2
K05790,lipopolysaccharide biosynthesis protein WzzE,gnl|Prokka|AKEAHCKB_01082;gnl|Prokka|APDOGEMG_02059;gnl|Prokka|BNGDJCLN_03265;gnl|Prokka|COAKLHLB_03336;gnl|Prokka|HCDLLMMA_03241;gnl|Prokka|HIPMDEKK_02484;gnl|Prokka|IAHBEFHN_01656;gnl|Prokka|ICHPHMKM_01254;gnl|Prokka|JCIDEFIG_00409;gnl|Prokka|JDDPIIHO_01063;gnl|Prokka|KAGGKOGE_00089;gnl|Prokka|KIDIHNBK_02631;gnl|Prokka|LGNBBEFE_03453;gnl|Prokka|LKCJGGKA_03648;gnl|Prokka|MKNIKEAA_03841;gnl|Prokka|NGKABENH_03431;gnl|Prokka|NKEMDPIE_00491;gnl|Prokka|PJBPACPC_00026;gnl|Prokka|PLJPCPFJ_02172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K01419,ATP-dependent HslUV protease; peptidase subunit HslV [EC:3.4.25.2],gnl|Prokka|AKEAHCKB_01206;gnl|Prokka|APDOGEMG_00397;gnl|Prokka|BNGDJCLN_04430;gnl|Prokka|COAKLHLB_01735;gnl|Prokka|HCDLLMMA_00896;gnl|Prokka|HIPMDEKK_02582;gnl|Prokka|IAHBEFHN_00566;gnl|Prokka|ICHPHMKM_03418;gnl|Prokka|JCIDEFIG_02869;gnl|Prokka|JDDPIIHO_00621;gnl|Prokka|KAGGKOGE_02167;gnl|Prokka|KIDIHNBK_02756;gnl|Prokka|LGNBBEFE_01826;gnl|Prokka|LKCJGGKA_03124;gnl|Prokka|MKNIKEAA_00479;gnl|Prokka|NGKABENH_04558;gnl|Prokka|NKEMDPIE_03167;gnl|Prokka|PJBPACPC_03683;gnl|Prokka|PLJPCPFJ_00367,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
